,predicted_labels,true_labels
87247,4,14
116960,4,26
39011,1,4
49248,4,4
118527,4,27
109305,1,25
4550,1,1
16021,1,1
65621,4,8
81774,4,11
117424,4,26
804,4,0
24875,4,4
44070,4,4
6043,1,1
108844,25,25
111623,25,25
42959,4,4
62335,1,7
69418,4,9
56736,4,5
86465,4,13
39157,4,4
28982,4,4
92969,4,17
53945,4,4
67148,4,8
50124,4,4
111215,4,25
20992,4,3
122013,4,28
35633,4,4
46450,4,4
122939,4,29
98524,25,20
95059,4,19
34989,4,4
50919,4,4
110992,4,25
63344,1,7
41191,4,4
34456,4,4
106826,1,24
72631,4,9
58230,4,6
100013,4,21
58669,4,6
90430,4,15
115668,4,26
6209,1,1
20572,4,3
43928,4,4
973,4,0
80030,4,11
36687,4,4
94803,4,19
7450,4,1
57254,4,5
7310,4,1
46177,25,4
38518,4,4
59456,1,6
57604,4,6
114809,4,26
45086,4,4
124931,4,30
94667,4,19
104127,4,23
70569,4,9
47389,4,4
46208,4,4
13678,1,1
33222,4,4
48047,4,4
122208,4,29
40170,4,4
64005,4,7
98114,4,20
103239,4,23
40334,4,4
107282,24,24
109022,4,25
84102,4,12
92316,1,17
38577,4,4
119147,4,27
36816,4,4
27637,4,4
69614,4,9
80655,4,11
12168,1,1
28662,4,4
77754,10,10
25568,4,4
80673,4,11
120657,4,28
70296,4,9
49630,4,4
111985,25,25
94920,4,19
118741,4,27
50787,4,4
84574,4,13
72992,9,9
33589,4,4
34402,4,4
120817,4,28
31797,4,4
109337,4,25
20557,4,3
35564,4,4
110154,4,25
111900,4,25
121941,4,28
98980,4,20
63318,1,7
88521,4,15
64008,4,7
58012,4,6
124426,4,30
106947,24,24
91893,1,16
33722,4,4
16902,1,1
60066,1,6
87262,4,14
48383,4,4
69676,4,9
82481,4,12
93782,4,18
102181,1,22
85725,4,13
70659,1,9
72094,4,9
80621,4,11
108078,4,25
58763,1,6
22602,4,4
120125,4,28
13179,1,1
92112,4,16
61499,7,7
11716,1,1
21129,4,3
81815,4,11
82313,1,12
104430,4,23
117672,4,26
7397,1,1
116988,26,26
47474,4,4
106226,1,24
56291,1,5
106899,4,24
83982,4,12
48144,4,4
46250,4,4
97015,4,20
84095,4,12
54950,4,5
25864,4,4
46765,4,4
24264,4,4
61599,1,7
80044,4,11
61083,1,6
50164,4,4
68965,1,9
48177,4,4
39600,4,4
95162,4,19
69564,4,9
7678,1,1
89110,4,15
55347,1,5
4082,1,1
70236,4,9
120430,4,28
71744,1,9
11712,1,1
102967,1,22
124717,1,30
76692,4,10
101627,4,22
94708,4,19
78510,4,11
59930,4,6
74851,10,10
8128,1,1
5218,1,1
122584,4,29
123631,1,30
79170,4,11
102561,4,22
42138,4,4
119070,4,27
67944,4,8
55701,1,5
15221,4,1
75012,4,10
21959,4,4
114094,4,25
10883,1,1
101695,1,22
119816,4,28
71441,4,9
45068,4,4
6323,1,1
99876,1,21
51830,4,4
9045,4,1
19913,4,3
54703,25,5
94822,4,19
34676,4,4
67630,4,8
69787,4,9
85448,4,13
32114,4,4
71025,1,9
11474,1,1
26011,4,4
26106,4,4
71969,4,9
43304,4,4
28227,4,4
82891,4,12
71372,4,9
88586,4,15
331,4,0
64819,4,8
28622,4,4
76381,4,10
72932,4,9
115607,26,26
85682,4,13
47973,4,4
89732,1,15
31418,4,4
4020,4,1
9322,1,1
94225,4,18
112454,4,25
42126,4,4
103079,4,23
100894,1,22
42343,4,4
105331,4,23
33707,4,4
34873,4,4
89356,4,15
50380,4,4
84691,4,13
111233,4,25
120602,4,28
57740,1,6
72089,4,9
3585,1,1
108187,4,25
117341,1,26
20941,4,3
41475,4,4
54148,4,4
6898,4,1
34694,4,4
104177,4,23
110356,4,25
14433,4,1
113270,4,25
26239,4,4
116276,4,26
84043,4,12
62568,4,7
17806,4,2
24627,4,4
49940,4,4
76250,10,10
46142,4,4
69352,4,9
93028,4,17
70591,4,9
52299,4,4
41378,4,4
49764,4,4
50345,4,4
45530,4,4
81594,4,11
67535,4,8
86786,4,13
19813,4,3
33875,4,4
45957,4,4
1435,1,0
109522,4,25
19751,4,3
12857,1,1
87676,4,14
123698,4,30
83325,4,12
72277,4,9
124987,4,30
17971,4,2
27562,4,4
94459,4,19
48339,4,4
4617,1,1
80505,4,11
117852,4,26
32249,4,4
80083,4,11
5615,1,1
60854,4,6
114794,4,26
108015,4,25
29672,4,4
13413,1,1
111932,4,25
103709,4,23
11095,1,1
79370,4,11
14037,1,1
72519,9,9
112559,4,25
67576,4,8
24327,4,4
79810,4,11
122269,4,29
12406,1,1
89808,4,15
122142,4,29
66469,1,8
52596,4,4
101261,1,22
32199,4,4
68346,1,8
94974,4,19
53014,4,4
89620,4,15
44620,4,4
71955,4,9
393,4,0
91978,1,16
20398,4,3
45814,4,4
56872,4,5
57144,4,5
118385,4,27
70037,4,9
30591,4,4
99158,4,20
47057,4,4
56895,4,5
99898,1,21
117895,4,26
64646,4,7
77257,4,10
68389,4,8
16440,4,1
8394,1,1
63875,4,7
21090,4,3
100811,22,22
96739,1,20
68603,4,8
47106,4,4
110532,4,25
36076,4,4
29364,4,4
119120,25,27
74962,4,10
109340,1,25
40297,4,4
63062,4,7
48121,4,4
55461,1,5
13914,1,1
30376,4,4
57348,4,6
26979,4,4
87565,4,14
81342,4,11
115118,4,26
36567,4,4
61301,4,7
103555,4,23
124450,9,30
33484,4,4
53785,4,4
35145,4,4
97233,1,20
319,4,0
30426,4,4
115567,26,26
83146,4,12
46902,4,4
17290,4,2
73418,4,9
98498,25,20
12135,4,1
14967,1,1
23182,4,4
22754,4,4
2775,1,0
11969,1,1
109258,4,25
2884,4,0
121982,4,28
16409,1,1
101953,4,22
76092,4,10
112227,4,25
14613,1,1
93996,4,18
65994,4,8
7771,1,1
52870,4,4
8616,1,1
82791,4,12
66152,4,8
534,4,0
86401,4,13
118060,4,26
43160,4,4
7506,1,1
43513,4,4
29851,4,4
78468,4,11
11787,1,1
47992,4,4
101830,4,22
117319,4,26
81704,4,11
67058,4,8
103991,4,23
41133,4,4
86889,4,13
89886,4,15
70994,9,9
13040,1,1
34972,4,4
56136,4,5
121107,4,28
51727,4,4
119454,4,27
119308,1,27
6584,4,1
118881,4,27
65381,1,8
85095,4,13
40563,4,4
84672,4,13
98182,4,20
88052,4,14
70161,4,9
79105,4,11
30636,4,4
116813,4,26
8471,1,1
100367,1,21
13304,1,1
60735,4,6
22021,4,4
66937,4,8
3071,1,1
11828,1,1
18647,4,2
43659,4,4
94293,4,18
116436,4,26
60942,4,6
92259,4,17
110960,4,25
10327,1,1
105211,4,23
96142,4,20
90977,4,16
15162,1,1
90717,4,15
82003,4,11
36186,4,4
55071,4,5
98576,4,20
3124,1,1
77153,4,10
2646,4,0
39764,4,4
114274,4,25
117395,4,26
37189,4,4
55165,1,5
51841,4,4
45499,4,4
94050,25,18
120994,4,28
117384,4,26
47071,4,4
121524,4,28
81813,4,11
85807,4,13
26142,4,4
20845,4,3
85164,4,13
11268,1,1
102238,1,22
34984,4,4
61313,4,7
116181,4,26
16186,1,1
46613,4,4
32444,4,4
57288,4,5
15051,4,1
18893,4,2
105020,4,23
122436,4,29
53171,4,4
76621,1,10
79401,4,11
28990,4,4
24557,4,4
99935,4,21
115006,4,26
44074,4,4
3882,1,1
29347,4,4
55520,4,5
40852,4,4
104966,4,23
117752,4,26
71422,1,9
24438,4,4
3443,1,1
22013,4,4
73500,4,9
24837,4,4
102208,1,22
29812,4,4
64693,4,8
51362,4,4
59650,1,6
91375,1,16
59339,4,6
111008,25,25
15478,1,1
37369,4,4
4513,4,1
121593,4,28
96297,4,20
105860,4,24
24207,4,4
107316,4,24
66954,4,8
49686,4,4
167,4,0
42857,4,4
1337,4,0
63046,1,7
59000,1,6
68509,4,8
26278,4,4
110958,4,25
81720,4,11
93791,4,18
116034,4,26
73813,4,10
88445,4,15
116543,4,26
105384,4,23
55113,25,5
94649,4,19
102965,1,22
120563,4,28
89095,4,15
11400,4,1
43544,4,4
10658,4,1
92307,1,17
92868,1,17
79693,4,11
109806,25,25
77807,4,10
111089,4,25
77879,4,11
20953,4,3
73613,4,9
62884,1,7
6742,4,1
26835,4,4
8688,4,1
78037,4,11
8855,1,1
105630,4,23
34272,4,4
50586,4,4
43347,4,4
117779,4,26
39789,4,4
94309,4,18
72870,4,9
49492,4,4
5376,1,1
114229,4,25
11772,1,1
27401,4,4
32994,4,4
40105,4,4
27887,4,4
26545,4,4
82770,4,12
38672,4,4
118318,1,27
30498,4,4
118181,1,27
95757,1,20
79205,4,11
121429,4,28
8898,1,1
25825,4,4
93127,1,17
43763,4,4
17843,4,2
69548,4,9
95511,4,20
23045,4,4
59480,0,6
106409,1,24
122016,4,28
49110,4,4
63272,4,7
58922,4,6
94456,4,19
56458,1,5
59755,1,6
107768,4,25
12017,1,1
114271,4,25
97573,20,20
9395,1,1
2217,4,0
73836,4,10
71042,4,9
99074,4,20
90321,4,15
26357,4,4
5973,1,1
119687,4,28
20387,4,3
22557,4,4
61127,4,6
76363,1,10
70385,4,9
14151,1,1
1968,4,0
19356,4,3
113438,4,25
97117,1,20
34103,4,4
23922,4,4
89878,4,15
